first_author,study_ID,effect_size_ID,year_published,citation,journal,level,phyllum,class,order,family,common_name,scientific_name,scientific_name_OTL,strain,developmental_stage,includes_body_size,body_size,size_unit,pop_source,temp,exposure_method,vehicle,bisphenol,bisphenol_conc,bispheno_unit_paper,bispenol_unit_standardized,Bispheno_corrected_ug,time,time_days,lag,sex,tissue_type,cell_type,cell_gen,molecule_type,molecule,abbreviation,type,role,response,response_unit,mean_control,sd_control,se_control,n_control,mean_treat,sd_treat,se_treat,n_treat,tool,mean_c_1,mean_t_1,pooled_sd,hedges_calc,hedges_abs,lnRR,lnRR_variance
Aarab,1,1,2006,"Aarab, N., S. Lemaire-Gony, E. Unruh, P. D. Hansen, Bodil Katrine Larsen, O. K. Andersen, and J. F. Narbonne. ""Preliminary study of responses in mussel (Mytilus edilus) exposed to bisphenol A, diallyl phthalate and tetrabromodiphenyl ether."" Aquatic toxicology 78 (2006): S86-S92.",Aquatic Toxicology,Organism,Mollusc,Bivalve,Mytilida,Mytilidae,Blue mussels,Mytilus edulis,Mytilus edulis,NA,Adult,N,NA,NA,Natural,NA,aqueous,acetone,BPA,50,ug/L,ug/L,50,3 weeks,21,0,Male,mantle,NA,NA,Hormone,Vitellogenin,VTG,Protein,Reproductive,Tissue concentration,ug/g,15000,200,89.44272,5,15500,200,89.44272,5,metadigitize,15001,15501,200,2.5,2.5,0.032789823,6.89E-05
Aarab,1,2,2006,"Aarab, N., S. Lemaire-Gony, E. Unruh, P. D. Hansen, Bodil Katrine Larsen, O. K. Andersen, and J. F. Narbonne. ""Preliminary study of responses in mussel (Mytilus edilus) exposed to bisphenol A, diallyl phthalate and tetrabromodiphenyl ether."" Aquatic toxicology 78 (2006): S86-S92.",Aquatic Toxicology,Organism,Mollusc,Bivalve,Mytilida,Mytilidae,Blue mussels,Mytilus edulis,Mytilus edulis,NA,Adult,N,NA,NA,Natural,NA,aqueous,acetone,BPA,50,ug/L,ug/L,50,3 weeks,21,0,Female,mantle,NA,NA,Hormone,Vitellogenin,VTG,Protein,Reproductive,Tissue concentration,ug/g,17000,1100,491.93496,5,18900,1200,536.65631,5,metadigitize,17001,18901,1151.086443,1.650614522,1.650614522,0.105948578,0.001643619
Ahbab,2,3,2017,"Ahbab, Müfide Aydoğan, Nurhayat Barlas, and Gözde Karabulut. ""The toxicological effects of bisphenol A and octylphenol on the reproductive system of prepubertal male rats."" Toxicology and industrial health 33, no. 2 (2017): 133-146.",Toxicology and industrial health,Organism,Chordate,Mammalia,Rodentia,Muridae,Lab rat,Rattus norvegicusdomestica ,Rattus norvegicus,Wistar,Juvenile,Y,315,grams,Lab,20°C,Gavage,NA,BPA,125,mg/kg bw/day,mg/kg,125000,13 weeks,91,0,Male,blood,NA,NA,Hormone,Testosterone,T,Androgen,Reproductive,Circulating level ,pg/mL,1338,578.0795793,236,6,642,205.7571384,84,6,metadigitize,1339,643,433.8847773,-1.604112512,1.604112512,-0.734342937,0.048230242
Ahbab,2,4,2017,"Ahbab, Müfide Aydoğan, Nurhayat Barlas, and Gözde Karabulut. ""The toxicological effects of bisphenol A and octylphenol on the reproductive system of prepubertal male rats."" Toxicology and industrial health 33, no. 2 (2017): 133-146.",Toxicology and industrial health,Organism,Chordate,Mammalia,Rodentia,Muridae,Lab rat,Rattus norvegicusdomestica ,Rattus norvegicus,Wistar,Juvenile,Y,337,grams,Lab,20°C,Gavage,NA,BPA,250,mg/kg bw/day,mg/kg,250000,13 weeks,91,0,Male,blood,NA,NA,Hormone,Testosterone,T,Androgen,Reproductive,Circulating level ,pg/mL,1338,578.0795793,236,6,597,183.7117307,75,6,metadigitize,1339,598,428.9090813,-1.727638869,1.727638869,-0.807014127,0.046893273
Ahbab,2,5,2017,"Ahbab, Müfide Aydoğan, Nurhayat Barlas, and Gözde Karabulut. ""The toxicological effects of bisphenol A and octylphenol on the reproductive system of prepubertal male rats."" Toxicology and industrial health 33, no. 2 (2017): 133-146.",Toxicology and industrial health,Organism,Chordate,Mammalia,Rodentia,Muridae,Lab rat,Rattus norvegicusdomestica ,Rattus norvegicus,Wistar,Juvenile,Y,315,grams,Lab,20°C,Gavage,NA,BPA,125,mg/kg bw/day,mg/kg,125000,13 weeks,91,0,Male,blood,NA,NA,Hormone,Luteinizing Hormone,LH,Pituitary,Reproductive,Circulating level ,ng/mL,10.3,1.224744871,0.5,6,13.5,2.939387691,1.2,6,metadigitize,11.3,14.5,2.25166605,1.421169893,1.421169893,0.27054579,0.010257724
Ahbab,2,6,2017,"Ahbab, Müfide Aydoğan, Nurhayat Barlas, and Gözde Karabulut. ""The toxicological effects of bisphenol A and octylphenol on the reproductive system of prepubertal male rats."" Toxicology and industrial health 33, no. 2 (2017): 133-146.",Toxicology and industrial health,Organism,Chordate,Mammalia,Rodentia,Muridae,Lab rat,Rattus norvegicusdomestica ,Rattus norvegicus,Wistar,Juvenile,Y,337,grams,Lab,20°C,Gavage,NA,BPA,250,mg/kg bw/day,mg/kg,250000,13 weeks,91,0,Male,blood,NA,NA,Hormone,Luteinizing Hormone,LH,Pituitary,Reproductive,Circulating level ,ng/mL,10.3,1.224744871,0.5,6,12.3,2.939387691,1.2,6,metadigitize,11.3,13.3,2.25166605,0.888231183,0.888231183,0.177455367,0.011874634
Ahbab,2,7,2017,"Ahbab, Müfide Aydoğan, Nurhayat Barlas, and Gözde Karabulut. ""The toxicological effects of bisphenol A and octylphenol on the reproductive system of prepubertal male rats."" Toxicology and industrial health 33, no. 2 (2017): 133-146.",Toxicology and industrial health,Organism,Chordate,Mammalia,Rodentia,Muridae,Lab rat,Rattus norvegicusdomestica ,Rattus norvegicus,Wistar,Juvenile,Y,315,grams,Lab,20°C,Gavage,NA,BPA,125,mg/kg bw/day,mg/kg,125000,13 weeks,91,0,Male,blood,NA,NA,Hormone,Thyroxine,T4,Thyroid,Thyroid,Circulating level ,pg/mL,20,6.85857128,2.8,6,22,13.71714256,5.6,6,metadigitize,21,23,10.84435337,0.184427778,0.184427778,0.09531018,0.084393388
Ahbab,2,8,2017,"Ahbab, Müfide Aydoğan, Nurhayat Barlas, and Gözde Karabulut. ""The toxicological effects of bisphenol A and octylphenol on the reproductive system of prepubertal male rats."" Toxicology and industrial health 33, no. 2 (2017): 133-146.",Toxicology and industrial health,Organism,Chordate,Mammalia,Rodentia,Muridae,Lab rat,Rattus norvegicusdomestica ,Rattus norvegicus,Wistar,Juvenile,Y,337,grams,Lab,20°C,Gavage,NA,BPA,250,mg/kg bw/day,mg/kg,250000,13 weeks,91,0,Male,blood,NA,NA,Hormone,Thyroxine,T4,Thyroid,Thyroid,Circulating level ,pg/mL,20,6.85857128,2.8,6,22,10.04290795,4.1,6,metadigitize,21,23,8.599418585,0.232573863,0.232573863,0.09531018,0.054331405
Ahbab,2,9,2017,"Ahbab, Müfide Aydoğan, Nurhayat Barlas, and Gözde Karabulut. ""The toxicological effects of bisphenol A and octylphenol on the reproductive system of prepubertal male rats."" Toxicology and industrial health 33, no. 2 (2017): 133-146.",Toxicology and industrial health,Organism,Chordate,Mammalia,Rodentia,Muridae,Lab rat,Rattus norvegicusdomestica ,Rattus norvegicus,Wistar,Juvenile,Y,315,grams,Lab,20°C,Gavage,NA,BPA,125,mg/kg bw/day,mg/kg,125000,13 weeks,91,0,Male,blood,NA,NA,Hormone,Triiodothyronine,T3,Thyroid,Thyroid,Circulating level ,pg/mL,21,0.979795897,0.4,6,22,2.204540769,0.9,6,metadigitize,22,23,1.705872211,0.586210382,0.586210382,0.046520016,0.002036366
Ahbab,2,10,2017,"Ahbab, Müfide Aydoğan, Nurhayat Barlas, and Gözde Karabulut. ""The toxicological effects of bisphenol A and octylphenol on the reproductive system of prepubertal male rats."" Toxicology and industrial health 33, no. 2 (2017): 133-146.",Toxicology and industrial health,Organism,Chordate,Mammalia,Rodentia,Muridae,Lab rat,Rattus norvegicusdomestica ,Rattus norvegicus,Wistar,Juvenile,Y,337,grams,Lab,20°C,Gavage,NA,BPA,250,mg/kg bw/day,mg/kg,250000,13 weeks,91,0,Male,blood,NA,NA,Hormone,Triiodothyronine,T3,Thyroid,Thyroid,Circulating level ,pg/mL,21,0.979795897,0.4,6,22,1.224744871,0.5,6,metadigitize,22,23,1.109053651,0.901669635,0.901669635,0.046520016,0.000879341
Ahmed,3,11,2018,"Ahmed, R. G., G. H. Walaa, and F. S. Asmaa. ""Suppressive effects of neonatal bisphenol A on the neuroendocrine system."" Toxicology and industrial health 34, no. 6 (2018): 397-407.",Toxicology and industrial health,Organism,Chordate,Mammalia,Rodentia,Muridae,Lab rat,Rattus norvegicusdomestica ,Rattus norvegicus,Wistar,Neonatal,Y,30,grams,Lab,NA,Gavage,corn oil,BPA,20,ug/kg bw/day,ug/kg,20,~2 weeks,15,0,Male,blood,NA,NA,Hormone,Triiodothyronine,T3,Thyroid,Thyroid,Circulating level ,ng/100 mL,4.78,0.391918359,0.16,6,3.35,0.440908154,0.18,6,metadigitize,5.78,4.35,0.417133072,-3.428162606,3.428162606,-0.355480201,0.004007486
Ahmed,3,12,2018,"Ahmed, R. G., G. H. Walaa, and F. S. Asmaa. ""Suppressive effects of neonatal bisphenol A on the neuroendocrine system."" Toxicology and industrial health 34, no. 6 (2018): 397-407.",Toxicology and industrial health,Organism,Chordate,Mammalia,Rodentia,Muridae,Lab rat,Rattus norvegicusdomestica ,Rattus norvegicus,Wistar,Neonatal,Y,30,grams,Lab,NA,Gavage,corn oil,BPA,40,ug/kg bw/day,ug/kg,40,~2 weeks,15,0,Male,blood,NA,NA,Hormone,Triiodothyronine,T3,Thyroid,Thyroid,Circulating level ,ng/100 mL,4.78,0.391918359,0.16,6,1.47,0.440908154,0.18,6,metadigitize,5.78,2.47,0.417133072,-7.93511764,7.93511764,-1.179178146,0.016114181
Ahmed,3,13,2018,"Ahmed, R. G., G. H. Walaa, and F. S. Asmaa. ""Suppressive effects of neonatal bisphenol A on the neuroendocrine system."" Toxicology and industrial health 34, no. 6 (2018): 397-407.",Toxicology and industrial health,Organism,Chordate,Mammalia,Rodentia,Muridae,Lab rat,Rattus norvegicusdomestica ,Rattus norvegicus,Wistar,Neonatal,Y,30,grams,Lab,NA,Gavage,corn oil,BPA,20,ug/kg bw/day,ug/kg,20,~2 weeks,15,0,Male,blood,NA,NA,Hormone,Thyroxine,T4,Thyroid,Thyroid,Circulating level ,ng/100 mL,10.65,0.489897949,0.2,6,7.12,0.269443872,0.11,6,metadigitize,11.65,8.12,0.395347948,-8.928843612,8.928843612,-0.402652167,0.000591349
Ahmed,3,14,2018,"Ahmed, R. G., G. H. Walaa, and F. S. Asmaa. ""Suppressive effects of neonatal bisphenol A on the neuroendocrine system."" Toxicology and industrial health 34, no. 6 (2018): 397-407.",Toxicology and industrial health,Organism,Chordate,Mammalia,Rodentia,Muridae,Lab rat,Rattus norvegicusdomestica ,Rattus norvegicus,Wistar,Neonatal,Y,30,grams,Lab,NA,Gavage,corn oil,BPA,40,ug/kg bw/day,ug/kg,40,~2 weeks,15,0,Male,blood,NA,NA,Hormone,Thyroxine,T4,Thyroid,Thyroid,Circulating level ,ng/100 mL,10.65,0.489897949,0.2,6,5.21,0.318433667,0.13,6,metadigitize,11.65,6.21,0.413158565,-13.16685761,13.16685761,-0.714980036,0.000975267
